PSA_ID,Domain,English,Kiswahili2,Somali,Dholuo,Kiswahili,Target_Languages,Source,Date,Metadata,Date_dt,en_len,sw_len
PSA000001,health,The Ministry of Health advises all residents to boil drinking water before consumption to prevent cholera outbreak.,Wizara ya Afya inawashauri wakazi wote kuchemsha maji ya kunywa kabla ya kuyatumia ili kuzuia mlipuko wa kipindupindu.,Wasaaradda Caafimaadka waxay kula talinaysaa dhammaan dadka deegaanka inay karkariyaan biyaha la cabbo ka hor inta aan la cunin si looga hortago faafitaanka daacuunka.,,Wizara ya Afya inashauri wakazi wote kuchemsha maji ya kunywa kabla ya matumizi ili kuzuia mlipuko wa kipindupindu.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",IEBC Kenya,2024-11-23,"{""type"": ""handcrafted_template"", ""psa_score"": 4, ""language_detected"": ""en-sw"", ""urgency_level"": ""high"", ""generated_at"": ""2026-07-22T07:10:05.935411""}",2024-11-23,115,115
PSA000002,health,URGENT: Avoid unnecessary travel to Ebola-affected regions. Report any suspected cases to the nearest health facility immediately.,HARAKA: Epuka kusafiri bila lazima kwenda maeneo yaliyoathiriwa na Ebola. Ripoti visa vyovyote vinavyoshukiwa katika kituo cha afya kilicho karibu mara moja.,DEGDEG AH: Ka fogow safar aan loo baahnayn oo aad ku tagto gobollada uu saameeyay Ebola. Isla markiiba u sheeg wixii kiisas ah ee laga shakiyo xarunta caafimaadka ee ugu dhow.,,HARAKA: Epuka usafiri usio wa lazima kwenye maeneo yaliyoathiriwa na Ebola. Ripoti kesi zozote zinazoshukiwa kwenye kituo cha afya cha karibu mara moja.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Ministry of Health,2024-01-18,"{""type"": ""handcrafted_template"", ""psa_score"": 7, ""language_detected"": ""en-sw"", ""urgency_level"": ""urgent"", ""generated_at"": ""2026-07-22T07:10:05.935454""}",2024-01-18,130,152
PSA000003,health,Parents are reminded to ensure children under 5 receive polio vaccination before the deadline of March 15th.,Wazazi wanakumbushwa kuhakikisha watoto walio chini ya umri wa miaka 5 wanapata chanjo ya polio kabla ya tarehe ya mwisho ya Machi 15.,Waalidiinta waxaa la xasuusinayaa inay hubiyaan in carruurta ka yar 5 sano ay qaataan tallaalka dabaysha ka hor inta aan la gaarin waqtiga kama dambaysta ah ee Maarso 15.,,Wazazi wamekumbushwa kuhakikisha watoto chini ya miaka 5 wanapata chanjo ya polio kabla ya tarehe ya mwisho ya Machi 15.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Ministry of Health,2025-07-17,"{""type"": ""handcrafted_template"", ""psa_score"": 7, ""language_detected"": ""en-sw"", ""urgency_level"": ""urgent"", ""generated_at"": ""2026-07-22T07:10:05.935482""}",2025-07-17,108,120
PSA000004,health,The Social Health Authority warns the public against fraudsters impersonating SHA officials. Do not share your personal information with unauthorized persons.,Mamlaka ya Afya ya Jamii inaonya umma dhidi ya wadanganyifu wanaojifanya maafisa wa SHA. Usishiriki taarifa zako binafsi na watu wasioidhinishwa.,Hay'adda Caafimaadka Bulshada waxay uga digaysaa dadweynaha khiyaamooyinka sameeya ee iska dhigaya saraakiisha SHA. Ha la wadaagin macluumaadkaaga shakhsi ahaaneed dadka aan la ogolayn.,,Mamlaka ya Afya ya Jamii inawaonya umma dhidi ya wadanganyifu wanaojifanya kuwa maafisa wa SHA. Usiambie taarifa zako za kibinafsi na watu wasioidhinishwa.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Ministry of Education,2024-10-20,"{""type"": ""handcrafted_template"", ""psa_score"": 8, ""language_detected"": ""en-sw"", ""urgency_level"": ""medium"", ""generated_at"": ""2026-07-22T07:10:05.935503""}",2024-10-20,158,155
PSA000005,health,All travelers from yellow fever endemic countries must present valid vaccination certificates at port of entry.,Wasafiri wote kutoka nchi zilizoathiriwa na homa ya manjano lazima wawasilishe vyeti halali vya chanjo bandarini.,Dhammaan dadka safarka ah ee ka imanaya wadamada uu ku badan yahay cudurka qandhada jaalaha ah waa inay keenaan shahaadooyin tallaal oo sax ah marka ay soo galayaan dekedda.,,Wasafiri wote kutoka nchi zinazoathiriwa na homa ya manjano lazima wasitishe vyeti halali vya chanjo kwenye bandari ya kuingia.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Social Health Authority,2024-01-22,"{""type"": ""handcrafted_template"", ""psa_score"": 3, ""language_detected"": ""en-sw"", ""urgency_level"": ""medium"", ""generated_at"": ""2026-07-22T07:10:05.935524""}",2024-01-22,111,127
PSA000006,health,The county health department announces free malaria screening at all dispensaries this week. Visit your nearest facility.,Idara ya afya ya kaunti inatangaza uchunguzi wa malaria bila malipo katika zahanati zote wiki hii. Tembelea kituo kilicho karibu nawe.,Waaxda caafimaadka ee degmadu waxay toddobaadkan ku dhawaaqday baaritaan bilaash ah oo duumada ah dhammaan farmashiyaha. Booqo xarunta kuugu dhow.,,Idara ya afya ya kaunti inatangaza ukaguzi wa bure wa malaria katika vituo vyote vya kutolea dawa wiki hii. Tembelea kituo chako cha karibu.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Ministry of Health,2025-02-21,"{""type"": ""handcrafted_template"", ""psa_score"": 4, ""language_detected"": ""en-sw"", ""urgency_level"": ""medium"", ""generated_at"": ""2026-07-22T07:10:05.935544""}",2025-02-21,121,140
PSA000007,health,Citizens are urged to practice regular handwashing with soap to prevent the spread of infectious diseases.,Wananchi wanahimizwa kunawa mikono mara kwa mara kwa sabuni ili kuzuia kuenea kwa magonjwa ya kuambukiza.,Muwaadiniinta waxaa lagu boorinayaa inay si joogto ah gacmaha ugu dhaqdaan saabuun si looga hortago faafitaanka cudurrada faafa.,,Wananchi wamehimizwa kuzoea kunawa mikono mara kwa mara kwa sabuni ili kuzuia kuenea kwa magonjwa ya kuambukiza.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",National Drought Management Authority,2025-10-10,"{""type"": ""handcrafted_template"", ""psa_score"": 8, ""language_detected"": ""en-sw"", ""urgency_level"": ""urgent"", ""generated_at"": ""2026-07-22T07:10:05.935563""}",2025-10-10,106,112
PSA000008,health,NOTICE: All health facilities must report suspected measles cases within 24 hours as per Ministry directive.,TAARIFA: Vituo vyote vya afya lazima viripoti visa vinavyoshukiwa vya surua ndani ya saa 24 kulingana na maagizo ya Wizara.,OGAYSIIS: Dhammaan xarumaha caafimaadku waa inay soo sheegaan kiisaska looga shakisan yahay jadeecada 24 saacadood gudahood sida ku cad tilmaamaha Wasaaradda.,,ILANI: Vituo vyote vya afya lazima virejeleze kesi zinazoshukiwa za surua ndani ya masaa 24 kama ilivyoagizwa na Wizara.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Kenya Meteorological Department,2025-12-23,"{""type"": ""handcrafted_template"", ""psa_score"": 4, ""language_detected"": ""en-sw"", ""urgency_level"": ""urgent"", ""generated_at"": ""2026-07-22T07:10:05.935583""}",2025-12-23,108,120
PSA000009,health,The public is advised to seek immediate medical attention for persistent cough and fever symptoms.,Umma unashauriwa kutafuta matibabu mara moja kwa dalili za kikohozi na homa zinazoendelea.,Dadweynaha waxaa lagula talinayaa inay raadsadaan daryeel caafimaad oo degdeg ah si ay u helaan calaamadaha qufaca iyo qandhada joogtada ah.,,Umma unashauriwa kutafuta matibabu ya haraka kwa dalili za kikohozi na homa zisizopona.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",National Disaster Operations Centre,2026-02-09,"{""type"": ""handcrafted_template"", ""psa_score"": 4, ""language_detected"": ""en-sw"", ""urgency_level"": ""medium"", ""generated_at"": ""2026-07-22T07:10:05.935601""}",2026-02-09,98,87
PSA000010,health,Community health workers will conduct door-to-door vaccination campaigns in all wards starting Monday.,Wafanyakazi wa afya ya jamii watafanya kampeni za chanjo ya nyumba kwa nyumba katika wodi zote kuanzia Jumatatu.,Shaqaalaha caafimaadka bulshada ayaa olole tallaal ah ka sameyn doona dhammaan waaxaha laga bilaabo Isniinta.,,Wafanyakazi wa afya ya jamii watafanya kampeni za chanjo kutoka mlango hadi mlango katika wadi zote kuanzia Jumatatu.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Kenya Meteorological Department,2026-06-17,"{""type"": ""handcrafted_template"", ""psa_score"": 6, ""language_detected"": ""en-sw"", ""urgency_level"": ""low"", ""generated_at"": ""2026-07-22T07:10:05.935620""}",2026-06-17,102,117
