PSA_Id,Domain,Class,English,Kiswahili,Ekegusii,Dholuo,Somali,Source,Date,Metadata
1,Agriculture,PSA,Farmers are urged to prioritize safe agrochemical usage as Kenya hosts the World Farmers' Organisation General Assembly.,Wakulima wanakumbushwa kuzingatia matumizi salama ya kemikali za kilimo wakati Kenya ikihudumia Mkutano Mkuu wa Shirika la Wakulima Duniani.,Abakuli batosere omogori bw'ogenda gesia bw'ogenda buya bw'ekegero naki bwasibori weke umwaki wa World Farmers' Organisation.,Dala marach yong’ni kuom thuolo buo ma jochwe gi ne nyaka keto buo ma ooyo kendo Kenya owuonye World Farmers' Organisation General Assembly.,"Beeraleyda waxa lagu boorinayaa inay mudnaanta siiyaan isticmaalka sunta beerta ee ammaanka leh, maadaama Keenya ay martigelinayso Shirweynaha Guud ee Ururka Beeraleyda Adduunka.",https://kilimo.go.ke/cs-kagwe-calls-for-global-action-on-hazardous-agrochemicals-as-kenya-hosts-world-farmers-organisation-general-assembly/,2026-07-14,scraped:MoALD News
2,Agriculture,PSA,Trucks ferrying top-dressing fertilizer are now arriving at the Eldoret Depot of the National Cereals and Produce Board. Farmers are encouraged to collect their supplies.,Masafa yanayosafirisha mbolea ya kuongeza mavuno sasa yanawasili katika Ghala la Eldoret la Bodi ya Taifa ya Nafaka na Mazao. Wakulima wanahimizwa kuchukua vifaa vyao.,Matika agwanana oria okora buya bwakonyang'ana oria buye bwanyama bwanja buya bu fei na Eldoret ya National Cereals and Produce Board. Abagorie baogekire okuigana oria buya bwabo.,Magari maher koro oyum oting' ka piny Eldoret kuom National Cereals and Produce Board. Jokanya no nyaka kony ng'ato mago.,Baabuurta qaada bacriminta sare ayaa hadda imaanaya keydka Eldoret ee Guddiga Qaranka ee Hadhuudhka iyo Miraha. Farming ayaa lagu dhiirrigelinayaa inay soo qaataan sahaydooda.,https://kilimo.go.ke/trucks-ferrying-top-dressing-fertilizer-have-begun-arriving-at-the-eldoret-depot-of-the-national-cereals-and-produce-boa/,2026-07-14,scraped:MoALD News
3,Agriculture,PSA,Farmers in Wajir are invited to participate in the Ksh. 5 billion Livestock Investment Drive launched by President Ruto.,Wakulima wa Wajir wanakaribishwa kushiriki katika Mpango wa Uwekezaji wa Mifugo wa Ksh. bilioni 5 ulioanzishwa na Rais Ruto.,Abagere bu Wajir batarikire kugana mu Ksh. 5 billion Livestock Investment Drive amogotere President Ruto.,Wamoro e Wajir to nying' gima to yudhi kanyiengi Ksh. 5 billion magi mo kwayo mar Nyasaye Ruto.,Beeralayda Wajir waxaa lagu casuumay inay ka qayb qaataan ololaha maalgelinta xoolaha oo ah Ksh. 5 bilyan oo uu soo bandhigay Madaxweyne Ruto.,https://kilimo.go.ke/president-ruto-launches-ksh-5b-livestock-investment-drive-in-wajir/,2026-07-14,scraped:MoALD News
4,Agriculture,PSA,Farmers are encouraged to participate in the sugarcane ethanol initiative to help lower fuel prices and boost the sugar sector.,Wakulima wanahimizwa kushiriki katika mpango wa etanoli wa miwa ili kusaidia kupunguza bei ya mafuta na kuimarisha sekta ya sukari.,Abagaba batemerewe kuhakanya mulashi wa ethanol ya miwa kugira akore bajua ng'ana buya na bushande bw'ekisukari.,Ng'eno mamoko konyo gi kita kuom sugarcane ethanol initiative dla goyo mar namba mar fuel ma gin manokoro gi sugar sector.,Dhalinyarada waxaa lagu dhiirrigelinayaa inay ka qaybqaataan mashruuca ethanol-ka sonkorta si loo yareeyo qiimaha shidaalka iyo kor loogu qaado qaybta sonkorta.,https://kilimo.go.ke/kenya-turns-to-sugarcane-ethanol-to-lower-fuel-prices-expand-sugar-sector/,2026-07-14,scraped:MoALD News
5,Agriculture,PSA,"A Ksh. 34.4 billion program has been launched to enhance climate resilience, food security, and sustainable livelihoods. Stakeholders in agriculture are encouraged to participate.","Mpango wa Ksh. bilioni 34.4 umeanzishwa ili kuimarisha ustahimilivu wa hali ya hewa, usalama wa chakula, na maisha endelevu. Washiriki katika sekta ya kilimo wanahimizwa kushiriki.","Programu ya Ksh. 34.4 bilioni imeanzishwa kuimarisha ustahimilivu wa hali ya hewa, usalama wa chakula, na maisha endelevu. Wadau katika kilimo wanahimizwa kushiriki.","Dhuong' Ksh. 34.4 bilioni nyasach nyaka jowuoth malong'o, iwacho e yo ng'ato, gima nigi piero, kod mga teko makare. Jotare chiegni e yo tsa e nyale.","Barnaamij dhan Ksh. 34.4 bilyan ayaa la bilaabay si loo xoojiyo adkeysiga cimilada, amniga cunnada, iyo nolol waarta. Sidoo kale, daneeyayaasha beeraha waxaa lagu dhiirigelinayaa inay ka qeybqaataan.",https://kilimo.go.ke/government-ifad-and-counties-unite-in-ksh-34-4-billion-programme-to-advance-climate-resilience-food-security-and-sustainable-livelihoods/,2026-07-14,scraped:MoALD News
6,Agriculture,PSA,The 12th Agritec Africa Conference will be held at KICC. Farmers and agribusiness stakeholders are encouraged to participate.,Mkutano wa 12 wa Agritec Africa utafanyika KICC. Wakulima na wadau wa biashara ya kilimo wanahimizwa kushiriki.,Itong’ango 12 ya Agritec Africa ichaitwaki na KICC. Abagikiri na abarwaki b’amasoko buinane baria bataraka buya.,Chiemo 12th Agritec Africa Conference nyi gima yaye KICC. Babichni ne lweny mar shamba magi e koni kanyono ni wobed kuom joma mang'ere.,Shirka 12-aad ee Agritec Africa waxaa lagu qaban doonaa KICC. Beeraleyda iyo daneeyayaasha ganacsiga beerta waxaa lagu dhiirigelinayaa inay ka qaybqaataan.,https://kilimo.go.ke/ps-agriculture-leads-curtain-raiser-for-12th-agritec-africa-conference-ahead-of-kicc-summit/,2026-07-14,scraped:MoALD News
7,Agriculture,PSA,The 4th National Kalro Open Research Week and 20th Annual Ruiru Coffee Fair is now open. Farmers and stakeholders in the coffee industry are encouraged to participate.,Siku ya 4 ya Utafiti wa Taifa wa Kalro na Maonyesho ya Kahawa ya Ruiru ya Kila Mwaka ya 20 yamefunguliwa sasa. Wakulima na wadau katika sekta ya kahawa wanahimizwa kushiriki.,"Naki za Nane Kaliro Open Research Week na Naki ya Nyakabingo ya Akarangu Ruiru ya 20, zikari kianchani. Abagurukire na abachokere bonyoro baretore batesebene.","Katsanda kuom Chan Piny 4, National Kalro Open Research Week, e tin mokuongo. Wuon-gi gi jomoko e kisumu mag Ruiru gi nyaka chike.",Tartanka 4-aad ee Qaranka ee Kalro iyo 20-aad ee Sanadlaha Ruiru Coffee Fair ayaa hadda furan. Beeralayda iyo daneeyayaasha warshadaha kafee ayaa lagu dhiirigelinayaa inay ka qaybgalaan.,https://kilimo.go.ke/ps-for-agriculture-dr-kipronoh-ronoh-paul-cbs-officially-opens-4th-national-kalro-open-research-week-and-20th-annual-ruiru-coffee-fair/,2026-07-14,scraped:MoALD News
8,Agriculture,PSA,Farmers in Garissa are encouraged to utilize the Bulla Cadey Irrigation Scheme to enhance agricultural productivity.,Wakulima Garissa wanahimizwa kutumia Mpango wa Umwagiliaji wa Bulla Cadey ili kuboresha uzalishaji wa kilimo.,Abagere baki Garissa mugakire buya Bulla Cadey Irrigation Scheme buya omogaka bwiira.,Mokoro e Garissa bang' gi Bulla Cadey Irrigation Scheme ka giyer gi tich mar udhi.,Beeraleyda Garissa waxaa lagu dhiirigelinayaa inay isticmaalaan Qorshaha Jilitaanka Bulla Cadey si kor loogu qaado waxsoosaarka beeraha.,https://kilimo.go.ke/ps-agriculture-and-cs-water-commission-bulla-cadey-irrigation-scheme-in-garissa/,2026-07-14,scraped:MoALD News
9,Agriculture,PSA,"The High Court has dismissed a petition against the Nzoia Sugar lease, allowing West Kenya Sugar to proceed with its Ksh 5.7 billion investment.","Mahakama Kuu imetupa ombi dhidi ya mkataba wa Nzoia Sugar, ikiruhusu West Kenya Sugar kuendelea na uwekezaji wa Ksh bilioni 5.7.","Omosioro ogendete ogwaki omokiri omokiamokiririe naki ya Nzoia Sugar, gaki oregisiri West Kenya Sugar okore stringa ye Ksh 5.7 billion.","Chakre gi High Court eyo ni petition ma nyal ni Nzoia Sugar lease, kendo osethgi West Kenya Sugar nigi konyo kanyo machiemo Ksh 5.7 billion.","Maxkamadda Sare ayaa diidday codsi ka dhan ah kirada Nzoia Sugar, iyadoo oggolaatay West Kenya Sugar inay sii wado maalgelinteeda oo ah Ksh 5.7 bilyan.",https://kilimo.go.ke/rulling/,2026-07-14,scraped:MoALD News
10,Agriculture,PSA,The Kenya Sugar Board announces that no sugar factories have been sold; they are only leased. Stakeholders should verify their contracts accordingly.,Bodi ya Sukari ya Kenya inatangaza kwamba hakuna viwanda vya sukari vilivyouzwa; vinapangishwa tu. Wadau wanapaswa kuthibitisha mikataba yao ipasavyo.,"Naki Kenya Sugar Board ekerere osibori buya, ore berire buya bwenga; orere buya bosiaki. Abachama batorore omotereri ba ibokireri bwosi.",Kenya Sugar Board oving' ni kendo sugar factories to kod nyalo yichal; nyaka to otimo ka gi leasa. Wanyalo joma oketh bende nyalo weche gi chon.,Hay'adda Sonkorta Kenya waxay ku dhawaaqaysaa in aan la iibin wax warshado sonkor ah; kaliya waa la kiraystay. Qaybaha daneynaya waa inay xaqiijiyaan heshiisyadooda sida ku habboon.,https://kilimo.go.ke/no-sugar-factory-sold-only-leased-agriculture-livestock-development-cs-tells-parliament/,2026-07-14,scraped:MoALD News
11,Agriculture,PSA,The Kenyan government has partnered with Pula Advisors to offer an innovative insurance program aimed at boosting climate resilience for smallholder farmers.,Serikali ya Kenya imefungamana na Pula Advisors kutoa mpango wa bima wa kisasa unaolenga kuimarisha uhimili wa hali ya hewa kwa wakulima wadogo.,Abagere baki Kenya batarire ne Pula Advisors omokigo omogori bwakorori buya bwaki oshie ikari ya buya bwaki orenda bukiing'ana buna chiang'ana buya bwaki abakereri.,Waganga wa Kenya anachok piny gi Pula Advisors nyaka tedi program mokuongo mauruok kuom jingo duto ma ombogo nyaka in-gi kakrindo yienyo ka gima odhi gi momuno.,Dowladda Kenya ayaa la shaqeyneysa Pula Advisors si ay u soo bandhigto barnaamij caymis cusub oo loogu talagalay in kor loogu qaado adkeysiga cimilada ee beeraleyda yaryar.,https://kilimo.go.ke/kenya-partners-with-pula-advisors-to-boost-climate-resilience-for-smallholder-farmers-through-innovative-insurance-program/,2026-07-14,scraped:MoALD News
