PSA_ID,Domain,Sub_Category,English,Kiswahili,Source,Date,Metadata,Ekegusii,Dholuo,Somali,Origin_File,Original_Language,Original_Text,Source_Name,Source_URL,Region,Org_Type,PSA_Score,Content_Hash,Retrieved_At
1,Governance,Anti-Corruption Initiatives,'Courts must be respected!' EACC clarifies concerns of dropping cases - Citizen Digital.,,GoogleNews_en,"Tue, 05 May 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQZjJaR1ZRajNMZk56Y0htX2haN2VOeGl1eVpGUXhKZlJkSm9NTGtmbFhCakMxYVNmY3dOY09tX3pYVk9NMVlUZUdLOWdtVFhmT2EteExHWkdEcTBxbUJGd3gtVVpocVpETEk4M0tNX2JwSS1zcTRIRGRVYTU2MjBoc0RMX0lFOGpNMFNoMHVpdWQwRWhSVFhyUTVJUEJPYkVKQS1pQmktSk5xUQ?oc=5,,,,,,,,,,,,,
2,Governance,Anti-Corruption Initiatives,'Courts must be respected!' EACC clarifies concerns of dropping cases Citizen Digital,,GoogleNews_en,"Tue, 05 May 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQZjJaR1ZRajNMZk56Y0htX2haN2VOeGl1eVpGUXhKZlJkSm9NTGtmbFhCakMxYVNmY3dOY09tX3pYVk9NMVlUZUdLOWdtVFhmT2EteExHWkdEcTBxbUJGd3gtVVpocVpETEk4M0tNX2JwSS1zcTRIRGRVYTU2MjBoc0RMX0lFOGpNMFNoMHVpdWQwRWhSVFhyUTVJUEJPYkVKQS1pQmktSk5xUQ?oc=5,,,,,,,,,,,,,
3,Governance,Anti-Corruption Initiatives,‘Snake under the bed’: EACC Chair urges students to confront corruption - Capitalfm.co.ke.,,GoogleNews_en,"Fri, 13 Mar 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxPOUNmblFEbGF6ckxId2tqOFVtdDNXNHRjWThsYTQ0UEFiT2lTd3pIVVVWSlFfYTJoN1B1Mm8tbVB4b0h1Y3lRb1VpNVVtUG4wTjVzc3UxUlBKUW93Nkh2T3NXOEFGc3ZiYU1uMlJmZ2FJc1JNYTRBdGhpd2FtT0dNNkRYb3JSVFoz?oc=5,,,,,,,,,,,,,
4,Governance,Anti-Corruption Initiatives,‘Snake under the bed’: EACC Chair urges students to confront corruption Capitalfm.co.ke,,GoogleNews_en,"Fri, 13 Mar 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxPOUNmblFEbGF6ckxId2tqOFVtdDNXNHRjWThsYTQ0UEFiT2lTd3pIVVVWSlFfYTJoN1B1Mm8tbVB4b0h1Y3lRb1VpNVVtUG4wTjVzc3UxUlBKUW93Nkh2T3NXOEFGc3ZiYU1uMlJmZ2FJc1JNYTRBdGhpd2FtT0dNNkRYb3JSVFoz?oc=5,,,,,,,,,,,,,
5,Governance,Anti-Corruption Initiatives,EACC announces 33 job vacancies across multiple departments - the-star.co.ke.,,GoogleNews_en,"Tue, 09 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMif0FVX3lxTE1zZ2NidkpoMjZTX0xfOFpyZHBsZmsxX05XYmx4QkZRZ1puTGpCdUtiaFFvejhCdHh6WEctcnJtZGRwQWdVRW9WSnhKbFB6cDVQR2NuSE9Cdmp0Uml3ZmVEU1BFWV83YXRzaHR2WXAxSFAyRFB2TFBjQzQxZnhWY0U?oc=5,,,,,,,,,,,,,
6,Governance,Anti-Corruption Initiatives,EACC announces 33 job vacancies across multiple departments the-star.co.ke,,GoogleNews_en,"Tue, 09 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMif0FVX3lxTE1zZ2NidkpoMjZTX0xfOFpyZHBsZmsxX05XYmx4QkZRZ1puTGpCdUtiaFFvejhCdHh6WEctcnJtZGRwQWdVRW9WSnhKbFB6cDVQR2NuSE9Cdmp0Uml3ZmVEU1BFWV83YXRzaHR2WXAxSFAyRFB2TFBjQzQxZnhWY0U?oc=5,,,,,,,,,,,,,
7,Governance,Anti-Corruption Initiatives,"Mudavadi warns of rising graft, as new EACC report reveals Ksh.85K bribe for Gov’t jobs - Citizen Digital.",,GoogleNews_en,"Fri, 24 Apr 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNRDFYYWI0bk5LV29HT1U2WFNzOTJSYWFjRWdQbTZ6NUV1TkFmQXZOMThuMmZ1VGFrZ3l6QTBCbE5qdVptdjdkMGQ5bkhVdm0yTDhEdXBXY1N3eGtWbnYxbkJmWEFVYVZaU2pfUVJUQV9HRzF1WmNhZzlNM1RrSXVmQ0RwRHZsZXBDb2JsQlNIZmV4QzFONzRDSWIyUVF4Rk9nMnRVVEtqR2luUC13cGNZYXc4R3AxRjR2cVkxa1d2MzVsUQ?oc=5,,,,,,,,,,,,,
8,Governance,Anti-Corruption Initiatives,"Mudavadi warns of rising graft, as new EACC report reveals Ksh.85K bribe for Gov’t jobs Citizen Digital",,GoogleNews_en,"Fri, 24 Apr 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNRDFYYWI0bk5LV29HT1U2WFNzOTJSYWFjRWdQbTZ6NUV1TkFmQXZOMThuMmZ1VGFrZ3l6QTBCbE5qdVptdjdkMGQ5bkhVdm0yTDhEdXBXY1N3eGtWbnYxbkJmWEFVYVZaU2pfUVJUQV9HRzF1WmNhZzlNM1RrSXVmQ0RwRHZsZXBDb2JsQlNIZmV4QzFONzRDSWIyUVF4Rk9nMnRVVEtqR2luUC13cGNZYXc4R3AxRjR2cVkxa1d2MzVsUQ?oc=5,,,,,,,,,,,,,
9,Governance,Anti-Corruption Initiatives,‘I will deal with corrupt officials!’ CS Ruku warns after EACC report exposes bribery - Citizen Digital.,,GoogleNews_en,"Fri, 10 Apr 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMivwFBVV95cUxNX1lWcVI5ZFJEVE1TQ3IxRjdLeW5WcGdYa1pZdEdoRWRiWTZqXzkwN2taM0s4eHdDbzlCaFhwSGppVmdqbkR6eUNqMDBuNktSMDZGZjE2Z0Q4eU9mQmg1bS1VUXVpbTNKUG1iby1zNVhSNHdvaFIzMkVscGZrRHpTQURFM3VGSVBLakVWdldaOVBWbnNBNnBDYVlSUi1SaDFDbmFoSWlTdm9aeXFzeVd6emdFSnNqM3Y5aUFzRjdwcw?oc=5,,,,,,,,,,,,,
10,Governance,Anti-Corruption Initiatives,‘I will deal with corrupt officials!’ CS Ruku warns after EACC report exposes bribery Citizen Digital,,GoogleNews_en,"Fri, 10 Apr 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMivwFBVV95cUxNX1lWcVI5ZFJEVE1TQ3IxRjdLeW5WcGdYa1pZdEdoRWRiWTZqXzkwN2taM0s4eHdDbzlCaFhwSGppVmdqbkR6eUNqMDBuNktSMDZGZjE2Z0Q4eU9mQmg1bS1VUXVpbTNKUG1iby1zNVhSNHdvaFIzMkVscGZrRHpTQURFM3VGSVBLakVWdldaOVBWbnNBNnBDYVlSUi1SaDFDbmFoSWlTdm9aeXFzeVd6emdFSnNqM3Y5aUFzRjdwcw?oc=5,,,,,,,,,,,,,
11,Governance,Anti-Corruption Initiatives,EACC Announces Mass Auction of Vehicles and Assorted Items - Kenyans.co.ke.,,GoogleNews_en,"Tue, 19 May 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMimAFBVV95cUxNVjNJcERMTHctZE9TV01tSG5wV2JiSDVTdm42SUJBRllpamYyMThhTWpLR21aRzlCdHAxUEVIODVhZEw3T29DOFhQZHRLNEhweEpScklWRGFUNkxqSW5VQUdtbXJHUnVvUnI3VGUxWVdFTUZnTVJjakMyeTBycHlOdVVMT3VOZUdiNllBN1ZOMWR3ZjdwMGRPbQ?oc=5,,,,,,,,,,,,,
12,Governance,Anti-Corruption Initiatives,EACC Announces Mass Auction of Vehicles and Assorted Items Kenyans.co.ke,,GoogleNews_en,"Tue, 19 May 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMimAFBVV95cUxNVjNJcERMTHctZE9TV01tSG5wV2JiSDVTdm42SUJBRllpamYyMThhTWpLR21aRzlCdHAxUEVIODVhZEw3T29DOFhQZHRLNEhweEpScklWRGFUNkxqSW5VQUdtbXJHUnVvUnI3VGUxWVdFTUZnTVJjakMyeTBycHlOdVVMT3VOZUdiNllBN1ZOMWR3ZjdwMGRPbQ?oc=5,,,,,,,,,,,,,
13,Governance,Anti-Corruption Initiatives,EACC’s Mohamud Urges East Africa to Shift from MoUs to Joint Anti-Corruption Action - Capitalfm.co.ke.,,GoogleNews_en,"Thu, 23 Apr 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMirAFBVV95cUxPMW9lWmR0V0E1c2dmRmYxZzAzX0ZpalNDWjMtYUhfNVh5ZHhMR2NhMWtrQllIWDhsSW9aYUtjUlRIUFE1dEF5ZGZmZGRqd0dKdXlCS3hldmRLSnMxLXJWVXVjUms5VFU5NmdYYy1SOVE0dmRDSWxwZlJSNHdRVWZLd0hMdzFBSUhaMk52LWtwUTJJZ0g4TXl0cndRN3lsVUxheEtmX1E5NEJ5QTJK?oc=5,,,,,,,,,,,,,
14,Governance,Anti-Corruption Initiatives,EACC’s Mohamud Urges East Africa to Shift from MoUs to Joint Anti-Corruption Action Capitalfm.co.ke,,GoogleNews_en,"Thu, 23 Apr 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMirAFBVV95cUxPMW9lWmR0V0E1c2dmRmYxZzAzX0ZpalNDWjMtYUhfNVh5ZHhMR2NhMWtrQllIWDhsSW9aYUtjUlRIUFE1dEF5ZGZmZGRqd0dKdXlCS3hldmRLSnMxLXJWVXVjUms5VFU5NmdYYy1SOVE0dmRDSWxwZlJSNHdRVWZLd0hMdzFBSUhaMk52LWtwUTJJZ0g4TXl0cndRN3lsVUxheEtmX1E5NEJ5QTJK?oc=5,,,,,,,,,,,,,
15,Governance,Anti-Corruption Initiatives,Africa’s anti-corruption research centre launched in Nairobi - Daily Nation.,,GoogleNews_en,"Wed, 17 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiowFBVV95cUxOWUREcGlnQ0hmS3RlQnNCcTVLSzhIeHNBUEpfdU9tc3FiWUZ1LWtfbW9wSks0VWlieU44YVVZYU1jX0JfUjAyUE43dHJyZXBEX2Z5NEloLTlWVkZEaU1IM0ZZcWJhdmcwNWV1elJmTFBnRzI5ajhmanhwS1I4SEpVVzJkUGNlcFhPM1o3N3dKRmhEd0FCcXN1UExIcXdtNkVtU0tn?oc=5,,,,,,,,,,,,,
16,Governance,Anti-Corruption Initiatives,Africa’s anti-corruption research centre launched in Nairobi Daily Nation,,GoogleNews_en,"Wed, 17 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiowFBVV95cUxOWUREcGlnQ0hmS3RlQnNCcTVLSzhIeHNBUEpfdU9tc3FiWUZ1LWtfbW9wSks0VWlieU44YVVZYU1jX0JfUjAyUE43dHJyZXBEX2Z5NEloLTlWVkZEaU1IM0ZZcWJhdmcwNWV1elJmTFBnRzI5ajhmanhwS1I4SEpVVzJkUGNlcFhPM1o3N3dKRmhEd0FCcXN1UExIcXdtNkVtU0tn?oc=5,,,,,,,,,,,,,
17,Governance,Anti-Corruption Initiatives,African anti-corruption research centre launched - Herald.co.zw.,,GoogleNews_en,"Thu, 18 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMihwFBVV95cUxQNDZiSUphbjMyM0VRbEE0SWRUR1Q1LXlDemlNaXpBSWZaaGZqeG9qcVpPeWJKVGt2ZlJqVVprMHNNM1d5LWhSQmdJdHlwbVM0WGNSb1pjNmNQNGJNbk1DcW81U2RPS29oanZ4TkdocHk5NTc4MG5KRm85S1A0cXFnVUNPbEgxSFk?oc=5,,,,,,,,,,,,,
18,Governance,Anti-Corruption Initiatives,African anti-corruption research centre launched Herald.co.zw,,GoogleNews_en,"Thu, 18 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMihwFBVV95cUxQNDZiSUphbjMyM0VRbEE0SWRUR1Q1LXlDemlNaXpBSWZaaGZqeG9qcVpPeWJKVGt2ZlJqVVprMHNNM1d5LWhSQmdJdHlwbVM0WGNSb1pjNmNQNGJNbk1DcW81U2RPS29oanZ4TkdocHk5NTc4MG5KRm85S1A0cXFnVUNPbEgxSFk?oc=5,,,,,,,,,,,,,
19,Governance,Anti-Corruption Initiatives,"EACC Announces Investigation Officer Job Openings, Details How to Apply - Kenyans.co.ke.",,GoogleNews_en,"Tue, 21 Oct 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQWmU5a2NxUmxlWkxiTFJwUjBQYWJPOU0yWDFtU3BxdmpPWlRrcGNGaFpEMVF5TEFrSXhQdkdtV3Z3VkJEOTRBd1diYVdnOUZXeFM5ZE9jSTJfeFZLSkUyRkl0RXZVUGsxWmFLYWlDeGx3N3hzZ19zbGY3QWN2SjljaUJSWlFxczJ1cnNydEd4dkNpQTZrSURfak0wYnFPZkxldjhmVExsc2d1Zw?oc=5,,,,,,,,,,,,,
20,Governance,Anti-Corruption Initiatives,"EACC Announces Investigation Officer Job Openings, Details How to Apply Kenyans.co.ke",,GoogleNews_en,"Tue, 21 Oct 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQWmU5a2NxUmxlWkxiTFJwUjBQYWJPOU0yWDFtU3BxdmpPWlRrcGNGaFpEMVF5TEFrSXhQdkdtV3Z3VkJEOTRBd1diYVdnOUZXeFM5ZE9jSTJfeFZLSkUyRkl0RXZVUGsxWmFLYWlDeGx3N3hzZ19zbGY3QWN2SjljaUJSWlFxczJ1cnNydEd4dkNpQTZrSURfak0wYnFPZkxldjhmVExsc2d1Zw?oc=5,,,,,,,,,,,,,
21,Governance,Anti-Corruption Initiatives,Africa’s Anti-Corruption Research Centre launched in Nairobi to boost fight against graft - The Eastleigh Voice.,,GoogleNews_en,"Wed, 17 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiyAFBVV95cUxPUS12dGpjd3BvejRPOV8tb1dMNHZMYW5PSmFsTlBsZFZWVmx5SlJNM3BmLWRabTJDVnBjYlJQWFFtb0RLNVNwcHJ0R2VKbVhvTUtMdTh6aVhIc05RbVVic21PRzRQZWYxZDcybFRSMHhobDg5RnQ5Wkd6TXdlU3NYWjNSLWJfS0oxUmdMNGhJV0R6YjVSeWoydGx6aUNRdkhDZVZEVlRDSEJjcHpvLWF6dXU2N0c0Nm0tRW1GY3c5Vkd6RkRjZzBUSA?oc=5,,,,,,,,,,,,,
22,Governance,Anti-Corruption Initiatives,Africa’s Anti-Corruption Research Centre launched in Nairobi to boost fight against graft The Eastleigh Voice,,GoogleNews_en,"Wed, 17 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiyAFBVV95cUxPUS12dGpjd3BvejRPOV8tb1dMNHZMYW5PSmFsTlBsZFZWVmx5SlJNM3BmLWRabTJDVnBjYlJQWFFtb0RLNVNwcHJ0R2VKbVhvTUtMdTh6aVhIc05RbVVic21PRzRQZWYxZDcybFRSMHhobDg5RnQ5Wkd6TXdlU3NYWjNSLWJfS0oxUmdMNGhJV0R6YjVSeWoydGx6aUNRdkhDZVZEVlRDSEJjcHpvLWF6dXU2N0c0Nm0tRW1GY3c5Vkd6RkRjZzBUSA?oc=5,,,,,,,,,,,,,
