PSA_ID,Domain,Class,English,Kiswahili,Target_Language,Source,Source_URL,Date,Metadata,Ekegusii,Dholuo,Somali
EDU-00001,Education,PSA,Join us to experience Kuwaiti culture and engage with a vibrant community blending Middle Eastern traditions and international education practices.,Jiunge nasi kutambua utamaduni wa Kuweit na kuungana na jamii yenye nguvu inayochanganya tamaduni za Kati ya Mashariki na taratibu za elimu za kimataifa.,,MoE_Kenya_News,https://www.education.go.ke/15th-international-invention-exhibition-middle-east-iifme-be-held-18th-11th-february2026-state,2025-09-02,General,Nakiere hamwe nige wakiire omokirori gw’Abakuwait na wakiire naki omogende bw’akiari bwotukore buseke styard.,"Ijoino konyo joma kuom Kuwaiti, kendo yieny joma ma oket e bunde maber mar buo mondo kinyal buo gi kaka ma joma manyien.",Nagala soo biir si aad u tijaabiso dhaqanka Kuwaiti iyo inaad la falgasho bulsho firfircoon oo is dhexgalaysa dhaqamada Bariga Dhexe iyo dhaqamada waxbarasho caalami ah.
EDU-00002,Education,PSA,The Government is ensuring that teacher training aligns with the new Competency-Based Education system. Graduates from Moi Teachers Training College are now ready to support this initiative.,Serikali inaweka hakikisho kwamba mafunzo ya walimu yanakidhi mfumo mpya wa Elimu Kulingana na Ufanisi. Wahitimu wa Chuo cha Mafunzo ya Walimu cha Moi sasa wapo tayari kusaidia mpango huu.,,MoE_Kenya_News,https://www.education.go.ke/29th-graduation-ceremony-moi-teachers-training-college-baringo,2025-07-31,Teachers,Abantu baki bateganire omogori bwire buya bwaki buya buero bwesigana na sistema ya Chikoro chire Chigere. Abakire b'ekorokokire ya Moi Teachers Training College naki bateganire kuchengere buya buya.,Chandruok gi chike duto aneto ni tich-re omer kamano ni wigi chike ma oyudo nigi. Nind gi chike ma Moi Teachers Training College oanyalo konyo nawineno.,Dowladdu waxay hubinaysaa in tababarka macalimiinta uu la jaanqaado nidaamka waxbarashada ee ku saleysan kartida. Qalinjabiyayaasha Kaallinta Tababarka Macalimiinta Moi waxay hadda diyaar u yihiin inay taageeraan hindisahan.
EDU-00003,Education,PSA,The Wajir government is investing in education to improve school infrastructure. Residents are encouraged to engage with education officials for benefits in this initiative.,Serikali ya Wajir inwekeza katika elimu kuboresha miundombinu ya shule. Wananchi wanahimizwa kushirikiana na maafisa wa elimu ili kunufaika na mpango huu.,,MoE_Kenya_News,https://www.education.go.ke/63rd-madaraka-day-celebrations-theme-education-skills-and-future-wajir,2026-05-29,General,Omoji wa Wajir atekerere bwakire mwaki omong’era bwaki bwaki. Abaki ba Wajir naki abaki batoro nyang’ani baria bategere kyekiriiro.,Ruoth Wajir en gi timo ma ticho e nyimok madhi te gima no ni gany mo golo. Jowanjal wawe gi kiyogo kuom magi tich kendo ng'eyo nyaka chalo e dhokni.,Dowladda Wajir waxay maalgelinaysaa waxbarashada si ay u hagaajiso kaabayaasha dugsiyada. Dadweynaha waxaa lagu dhiirigelinayaa inay la xiriiraan mas'uuliyiinta waxbarashada si ay u helaan faa'iidooyinka mashruucan.
EDU-00004,Education,PSA,The Kenya Primary Education Equity in Learning (KPEEL) and Kenya Secondary Education Equity and Quality Improvement Programme (SEEQIP) are actively improving access and quality in education.,Mpango wa Usawa wa Elimu ya Msingi Kenya (KPEEL) na Mpango wa Kuboresha Usawa na Ubora wa Elimu ya Sekondari Kenya (SEEQIP) wanafanya kazi kuboresha upatikanaji na ubora katika elimu.,,MoE_Kenya_News,https://www.education.go.ke/assessing-progress-kpeel-and-seeqip-projects,2026-02-12,Curriculum,Omoigoti bwa Kenya Primary Education Equity in Learning (KPEEL) na Kenya Secondary Education Equity and Quality Improvement Programme (SEEQIP) nakiere buya bosibori bwenge na buya bwokire orekeni.,Kenya Primary Education Equity in Learning (KPEEL) kod Kenya Secondary Education Equity and Quality Improvement Programme (SEEQIP) ne okonyo ng'ato kendo nyaka kwa ochieng’ kod piny kendo nyaka nyis in dala.,Barnaamijka Cadaaladda Waxbarashada Aasaasiga ah ee Kenya (KPEEL) iyo Barnaamijka Hagaajinta Tayada iyo Cadaaladda Waxbarashada Dugsiga Sare ee Kenya (SEEQIP) waxay si firfircoon u wanaajinayaan helitaanka iyo tayada waxbarashada.
EDU-00005,Education,PSA,"Celebrate educational excellence! Congratulations to all prize recipients at Maryhill High School. Keep striving for success, students!","Sherehekea ubora wa elimu! Hongera kwa wapokeaji wote wa tuzo katika Shule ya Sekondari ya Maryhill. Endeleeni kutumia juhudi kufikia mafanikio, wanafunzi!",,MoE_Kenya_News,https://www.education.go.ke/basic-education-principal-secretary-accompany-head-public-servicefelix-koskei-celebrate-education,2026-06-19,Schools,"Igenge obwakire bw’achie! Naki ogendete buya buje bosi buya bwakire banachiemi bosi bakore Maryhill High School. Kosibori omokirigani, abere!","Ning’eyo ging’ lari! Nakiya kuom yogo nyingi matindo gi Maryhill High School. Ranyisou chako, masom!","U dabaaldeg tayada waxbarashada! Hambalyo dhammaan dadka ku guuleystay abaalmarinta ee Dugsiga Sare ee Maryhill. Sii wad dadaalkaaga guusha, ardayda!"
EDU-00006,Education,PSA,The Kenya Institute of Special Education is constructing an assistive device factory to support special needs learners. Facilities will improve access to quality education for all learners.,Taasisi ya Kenya ya Elimu ya Walemavu inajenga kiwanda cha vifaa vya msaada ili kusaidia wanafunzi wenye mahitaji maalum. Miundombinu itaboresha upatikanaji wa elimu bora kwa wanafunzi wote.,,MoE_Kenya_News,https://www.education.go.ke/basic-education-principal-secretary-john-ololtua-tours-kise,2026-07-03,General,Ishule ya Kenya ya Ekerenda ya Koshore ikirende chimoti chaki kurerera abaki batariani. Bwakire bwai rianirie buya buigira buya busebu.,Kenya Institute of Special Education owinjo fabrika mar assistive device piny kuom okonyo mawuon gi jieli maber. Kanyira ng’ato nyalo golo kanyo kod buo mar edu shir.,Hay'adda Kenya ee Waxbarashada Gaar ah waxay dhiseysaa warshad qalab taageero ah si ay u caawiso ardayda leh baahiyo khaas ah. Goobahan ayaa kor u qaadi doona helitaanka waxbarasho tayo leh oo dhammaan ardayda.
EDU-00007,Education,PSA,Newly recruited Quality Assurance and Standards Officers (QASOs) are now being oriented at the Kenya Institute for Curriculum Development (KICD).,Maafisa wapya wa Uhakiki wa Ubora na Viwango (QASOs) sasa wanapatiwa maelekezo katika Taasisi ya Kenya ya Utengenezaji wa Mtaala (KICD).,,MoE_Kenya_News,https://www.education.go.ke/basic-education-principal-secretary-john-ololtuaa-has-officially-opened-orientation-newly-recruited,2026-06-16,Curriculum,Abakire abakiri bano chireku banye buya bwa Quality Assurance and Standards Officers (QASOs) bari mokwaki ora ka Kenya Institute for Curriculum Development (KICD).,Joknyakore omiya gi Quality Assurance and Standards (QASOs) nyaka ogendni e Kenya Institute for Curriculum Development (KICD).,Shaqaalaha cusub ee loogu talagalay Kormeerka Tayada iyo Heerarka (QASOs) ayaa hada lagu baranayaa Machadka Kenya ee Horumarinta Manhajka (KICD).
EDU-00008,Education,PSA,"The Ministry of Education, in partnership with WFP, provides mid-day meals to public primary school children in Arid and Semi-Arid regions. Enroll your children to benefit from this nutrition program.","Wizara ya Elimu, kwa kushirikiana na WFP, inatoa chakula cha mchana kwa watoto wa shule za msingi za umma katika maeneo ya Jangwa na Nusu Jangwa. Wajiandikishe watoto wenu ili waweze kunufaika na mpango huu wa lishe.",,MoE_Kenya_News,https://www.education.go.ke/basic-education-programmes,2023-01-01,Schools,"Obwaki bw'Esoma, bw'ekenyang'iana na WFP, buyaire buya bosi bwi naki buya na buya buya buya buya gose buya naki bw'oseku bw'iki. Johana araka naki genda iria jendo.","Ministry of Education, kendo gi WFP, okel mid-day meals ma okonyo mar wadugu ondiek e public primary schools e namba gi Semi-Arid. Jotegno chol gi kanyalo utho e yo piny gi joma owach.","Wasaaradda Waxbarashada, oo wada shaqaynaya WFP, waxay cuntooyinka qado u fidisaa caruurta dugsiyada hoose ee dowladda ku yaal Soomaaliya iyo gobollada kaarika. Diiwaangeli caruurtaada si ay uga faa'iideystaan barnaamijkan nafaqada."
EDU-00009,Education,PSA,KCSE and KJSEA exam papers have been officially opened and are ready for distribution to schools.,Karatasi za mtihani wa KCSE na KJSEA zimefunguliwa rasmi na ziko tayari kufikishwa kwenye shule.,,MoE_Kenya_News,https://www.education.go.ke/basic-education-ps-julius-bitok-westlands-deputy-county-commissioners-office-nairobi-after,2025-11-03,Examinations,Egesia ya KCSE na KJSEA emosi omokibori buya na ekenye ore kirera okugana bwakire buseke.,KCSE na KJSEA ka gika gi tichni to gi beri kuom kendo ne okonyo nyasaye kuoch.,Warqadaha imtixaanka KCSE iyo KJSEA ayaa si rasmi ah loo furay waxaana diyaar u ah in lagu qaybiyo iskuulada.
EDU-00010,Education,PSA,"Over 10,000 laptops and smart boards are being distributed to junior schools across all 47 counties. Schools in Nyandarua Sub-County will receive these digital learning devices.","Zaidi ya laptop 10,000 na mabodi ya smart yatagawanywa kwa shule za msingi katika kaunti zote 47. Shule za Nyandarua Sub-County zitapata vifaa hivi vya kujifunzia kidigitali.",,MoE_Kenya_News,https://www.education.go.ke/basic-education-ps-ololtuaa-distribute-ict-gadgets,2026-07-09,General,"Eka 10,000 emaboko na boti za smart boradi zigebwaki kumakere eria ja junior mu naki 47. Masige ma Nyandarua Sub-County naki oria bahetani ema ibarori.","Dhi nyaka 10,000 laptops naki smart boards duto, dongo ka gidhi nyisore gi junior schools maduong' 47 counties. Shule nikech Nyandarua Sub-County en buo gi teki dhok e yo odhiambo.","In ka badan 10,000 laptop iyo saacado cajiib ah ayaa la qeybinayaa dugsiyada hoose ee ka jira 47-ka dowlad-goboleed. Dugsiyada ku yaal Nyandarua Sub-County ayaa helaya aaladahaan waxbarashada dijital ah."
